@_id,@_location,word/0/@_form,word/0/@_id,word/0/lemma/@_id,word/0/lemma/@_entry,word/0/lemma/@_POS,word/0/lemma/@_TreeTagger,word/0/lemma/@_disambiguated,word/0/lemma/analysis/@_morph,word/1/@_form,word/1/@_id,word/1/lemma/@_id,word/1/lemma/@_entry,word/1/lemma/@_POS,word/1/lemma/@_TreeTagger,word/1/lemma/@_disambiguated,word/1/lemma/analysis/@_morph,word/2/@_form,word/2/@_id,word/2/lemma/@_id,word/2/lemma/@_entry,word/2/lemma/@_POS,word/2/lemma/@_TreeTagger,word/2/lemma/@_disambiguated,word/2/lemma/analysis/0/@_morph,word/2/lemma/analysis/1/@_morph,word/3/@_form,word/3/@_id,word/3/lemma/@_id,word/3/lemma/@_entry,word/3/lemma/@_POS,word/3/lemma/@_disambiguated,word/3/lemma/@_TreeTagger,word/3/lemma/analysis/@_morph,word/4/@_form,word/4/@_id,word/4/lemma/@_id,word/4/lemma/@_entry,word/4/lemma/@_POS,word/4/lemma/@_TreeTagger,word/4/lemma/@_disambiguated,word/4/lemma/analysis/@_morph,word/5/@_form,word/5/@_id,word/5/lemma/@_id,word/5/lemma/@_entry,word/5/lemma/@_POS,word/5/lemma/@_TreeTagger,word/5/lemma/@_disambiguated,word/5/lemma/analysis/0/@_morph,word/5/lemma/analysis/1/@_morph,word/6/@_form,word/6/@_id,word/6/lemma/@_id,word/6/lemma/@_entry,word/6/lemma/@_POS,word/6/lemma/@_TreeTagger,word/6/lemma/@_disambiguated,word/6/lemma/analysis/@_morph,word/7/@_form,word/7/@_id,word/7/lemma/@_id,word/7/lemma/@_entry,word/7/lemma/@_POS,word/7/lemma/@_TreeTagger,word/7/lemma/@_disambiguated,word/7/lemma/analysis/@_morph,word/8/@_form,word/8/@_id,word/8/lemma/@_id,word/8/lemma/@_entry,word/8/lemma/@_POS,word/8/lemma/@_TreeTagger,word/8/lemma/@_disambiguated,word/8/lemma/analysis/@_morph,word/9/@_form,word/9/@_id,word/9/lemma/@_id,word/9/lemma/@_entry,word/9/lemma/@_POS,word/9/lemma/@_TreeTagger,word/9/lemma/@_disambiguated,word/9/lemma/analysis/@_morph,word/10/@_form,word/10/@_id,word/10/lemma/@_id,word/10/lemma/@_entry,word/10/lemma/@_POS,word/10/lemma/@_disambiguated,word/10/lemma/@_TreeTagger,word/10/lemma/analysis/@_morph,punct/0/@_mark,punct/1/@_mark,punct/2/@_mark,punct/3/@_mark,word/2/lemma/analysis/@_morph,word/5/lemma/analysis/@_morph,word/7/lemma/analysis/0/@_morph,word/7/lemma/analysis/1/@_morph,word/8/lemma/analysis/0/@_morph,word/8/lemma/analysis/1/@_morph,word/11/@_form,word/11/@_id,word/11/lemma/@_id,word/11/lemma/@_entry,word/11/lemma/@_POS,word/11/lemma/@_TreeTagger,word/11/lemma/@_disambiguated,word/11/lemma/analysis/@_morph,word/12/@_form,word/12/@_id,word/12/lemma/@_id,word/12/lemma/@_entry,word/12/lemma/@_POS,word/12/lemma/@_TreeTagger,word/12/lemma/@_disambiguated,word/12/lemma/analysis/@_morph,word/13/@_form,word/13/@_id,word/13/lemma/@_id,word/13/lemma/@_entry,word/13/lemma/@_POS,word/13/lemma/@_TreeTagger,word/13/lemma/@_disambiguated,word/13/lemma/analysis/0/@_morph,word/13/lemma/analysis/1/@_morph,word/14/@_form,word/14/@_id,word/14/lemma/@_id,word/14/lemma/@_entry,word/14/lemma/@_POS,word/14/lemma/@_TreeTagger,word/14/lemma/@_disambiguated,word/14/lemma/analysis/@_morph,word/15/@_form,word/15/@_id,word/15/lemma/@_id,word/15/lemma/@_entry,word/15/lemma/@_POS,word/15/lemma/@_TreeTagger,word/15/lemma/@_disambiguated,word/15/lemma/analysis/@_morph,word/0/lemma/analysis/0/@_morph,word/0/lemma/analysis/1/@_morph,word/16/@_form,word/16/@_id,word/16/lemma/@_id,word/16/lemma/@_entry,word/16/lemma/@_POS,word/16/lemma/@_disambiguated,word/16/lemma/@_TreeTagger,word/16/lemma/analysis/@_morph,word/17/@_form,word/17/@_id,word/17/lemma/@_id,word/17/lemma/@_entry,word/17/lemma/@_POS,word/17/lemma/@_TreeTagger,word/17/lemma/@_disambiguated,word/17/lemma/analysis/0/@_morph,word/17/lemma/analysis/1/@_morph,word/18/@_form,word/18/@_id,word/18/lemma/@_id,word/18/lemma/@_entry,word/18/lemma/@_POS,word/18/lemma/@_TreeTagger,word/18/lemma/@_disambiguated,word/18/lemma/analysis/@_morph,word/19/@_form,word/19/@_id,word/19/lemma/@_id,word/19/lemma/@_entry,word/19/lemma/@_POS,word/19/lemma/@_disambiguated,word/19/lemma/@_TreeTagger,word/19/lemma/analysis/@_morph,word/20/@_form,word/20/@_id,word/20/lemma/@_id,word/20/lemma/@_entry,word/20/lemma/@_POS,word/20/lemma/@_TreeTagger,word/20/lemma/@_disambiguated,word/20/lemma/analysis/0/@_morph,word/20/lemma/analysis/1/@_morph,word/21/@_form,word/21/@_id,word/21/lemma/@_id,word/21/lemma/@_entry,word/21/lemma/@_POS,word/21/lemma/@_TreeTagger,word/21/lemma/@_disambiguated,word/21/lemma/analysis/0/@_morph,word/21/lemma/analysis/1/@_morph,word/21/lemma/analysis/2/@_morph,word/22/@_form,word/22/@_id,word/22/lemma/@_id,word/22/lemma/@_entry,word/22/lemma/@_POS,word/22/lemma/@_TreeTagger,word/22/lemma/@_disambiguated,word/22/lemma/analysis/@_morph,word/23/@_form,word/23/@_id,word/23/lemma/@_id,word/23/lemma/@_entry,word/23/lemma/@_POS,word/23/lemma/@_TreeTagger,word/23/lemma/@_disambiguated,word/23/lemma/analysis/@_morph,word/24/@_form,word/24/@_id,word/24/lemma/@_id,word/24/lemma/@_entry,word/24/lemma/@_POS,word/24/lemma/@_TreeTagger,word/24/lemma/@_disambiguated,word/24/lemma/analysis/@_morph,word/25/@_form,word/25/@_id,word/25/lemma/@_id,word/25/lemma/@_entry,word/25/lemma/@_POS,word/25/lemma/@_TreeTagger,word/25/lemma/@_disambiguated,word/25/lemma/analysis/@_morph,word/26/@_form,word/26/@_id,word/26/lemma/@_id,word/26/lemma/@_entry,word/26/lemma/@_POS,word/26/lemma/@_TreeTagger,word/26/lemma/@_disambiguated,word/26/lemma/analysis/0/@_morph,word/26/lemma/analysis/1/@_morph,word/27/@_form,word/27/@_id,word/27/lemma/@_id,word/27/lemma/@_entry,word/27/lemma/@_POS,word/27/lemma/@_disambiguated,word/27/lemma/@_TreeTagger,word/27/lemma/analysis/0/@_morph,word/27/lemma/analysis/1/@_morph,word/28/@_form,word/28/@_id,word/28/lemma/@_id,word/28/lemma/@_entry,word/28/lemma/@_POS,word/28/lemma/@_TreeTagger,word/28/lemma/@_disambiguated,word/28/lemma/analysis/@_morph,word/29/@_form,word/29/@_id,word/29/lemma/@_id,word/29/lemma/@_entry,word/29/lemma/@_POS,word/29/lemma/@_disambiguated,word/29/lemma/@_TreeTagger,word/29/lemma/analysis/0/@_morph,word/29/lemma/analysis/1/@_morph,word/29/lemma/analysis/2/@_morph,word/30/@_form,word/30/@_id,word/30/lemma/@_id,word/30/lemma/@_entry,word/30/lemma/@_POS,word/30/lemma/@_TreeTagger,word/30/lemma/@_disambiguated,word/30/lemma/analysis/@_morph,word/31/@_form,word/31/@_id,word/31/lemma/@_id,word/31/lemma/@_entry,word/31/lemma/@_POS,word/31/lemma/@_TreeTagger,word/31/lemma/@_disambiguated,word/31/lemma/analysis/@_morph,word/32/@_form,word/32/@_id,word/32/lemma/@_id,word/32/lemma/@_entry,word/32/lemma/@_POS,word/32/lemma/@_TreeTagger,word/32/lemma/@_disambiguated,word/32/lemma/analysis/@_morph,word/33/@_form,word/33/@_id,word/33/lemma/@_id,word/33/lemma/@_entry,word/33/lemma/@_POS,word/33/lemma/@_TreeTagger,word/33/lemma/@_disambiguated,word/33/lemma/analysis/@_morph,punct/4/@_mark,punct/5/@_mark,punct/6/@_mark,punct/7/@_mark,punct/8/@_mark,word/2/lemma/analysis/2/@_morph,word/10/lemma/analysis/0/@_morph,word/10/lemma/analysis/1/@_morph,punct/@_mark,word/4/lemma/analysis/0/@_morph,word/4/lemma/analysis/1/@_morph,word/6/lemma/analysis/0/@_morph,word/6/lemma/analysis/1/@_morph,word/4/lemma/analysis/2/@_morph,word/8/lemma/analysis/2/@_morph,word/8/lemma/analysis/3/@_morph,word/9/lemma/analysis/0/@_morph,word/9/lemma/analysis/1/@_morph,word/9/lemma/analysis/2/@_morph,word/13/lemma/analysis/@_morph
1,1,mh/nhn,1,67468,μήνη,noun,false,n/a,fem acc sg (attic epic ionic),a)ei/dein,2,1587,ἀείδω,verb,false,n/a,pres inf act (attic epic ionic),tanusi/pteron,3,102354,τανυσίπτερος,adjective,false,n/a,masc/fem acc sg,neut nom/voc/acc sg,e)/spete,4,41798,ἕπομαι,verb,0.25,true,aor ind act 2nd pl,*mou=sai,5,68876,Μοῦσα,proper,false,n/a,fem nom/voc pl,h(duepei=s,6,46666,ἡδυεπής,adjective,false,n/a,masc/fem acc pl,masc/fem nom/voc pl (attic epic),kou=rai,7,59098,κόρη,noun,false,n/a,fem nom/voc pl (epic ionic),*kroni/dew,8,60123,Κρονίδης,proper,false,n/a,masc gen sg (epic ionic),*dio/s,9,46195,Ζεύς,proper,false,n/a,masc gen sg,i(/stores,10,nlsj59955,ἵστωρ,noun,false,n/a,masc/fem nom/voc pl,w)|dh=s,11,11106,ἀοιδός,noun,0.5,true,fem gen sg (attic epic ionic),",",",",",",:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,h(=s,1,75512,ὅς,pronoun,true,1.0,fem gen sg (attic homeric ionic),a)/po,2,12243,ἀπό,preposition,false,n/a,indeclform (prep),ai)/glh,3,2181,αἴγλη,noun,false,n/a,,,gai=an,4,21401,γαῖα,noun,n/a,false,fem acc sg,e(li/ssetai,5,33728,ἑλίσσω,verb,false,n/a,pres ind mp 3rd sg,ou)rano/deiktos,6,75934,οὐρανόδεικτος,adjective,false,n/a,,,krato\s,7,59655,κράς,verb,false,n/a,fem gen sg,a)p',8,12243,ἀπό,preposition,false,n/a,,a)qana/toio,9,1899,ἀθάνατος,adjective,false,n/a,,polu\s,10,85306,πολύς,adjective,false,n/a,masc nom sg (attic epic),d',11,23596,δέ,particle,n/a,false,indeclform (particle),",",:,,,fem nom/voc sg (attic epic ionic),masc/fem nom sg,indeclform (prep),poetic indeclform (prep),masc/neut gen sg (epic),masc/fem/neut gen sg (epic),u(po\,12,108092,ὑπό,preposition,false,n/a,indeclform (prep),ko/smos,13,59339,κόσμος,noun,false,n/a,masc nom sg,o)/rwren,14,75267,ὄρνυμι,verb,false,n/a,perf ind act 3rd sg,plup ind act 3rd pl (epic doric aeolic),ai)/glhs,15,2181,αἴγλη,noun,false,n/a,fem gen sg (attic epic ionic),lampou/shs,16,61875,λάμπω,verb,false,n/a,pres part act fem gen sg (attic epic ionic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,sti/lbei,1,96814,στίλβω,verb,false,n/a,,de/,2,23596,δέ,particle,false,n/a,indeclform (particle),t',3,102752,τε,particle,true,1.0,,,a)la/mpetos,4,3860,ἀλάμπετος,adjective,n/a,false,masc/fem nom sg,a)h\r,5,1872,ἀήρ,adjective,false,n/a,masc/fem nom/voc sg,xruse/ou,6,114816,χρύσεος,adjective,false,n/a,,,a)po\,7,12243,ἀπό,preposition,false,n/a,indeclform (prep),stefa/nou,8,96662,στέφανος,noun,true,1.0,masc gen sg,a)kti=nes,9,3751,ἀκτίς,adjective,false,n/a,fem nom/voc pl,d',10,23596,δέ,particle,false,n/a,indeclform (particle),e)ndia/ontai,11,unknown,,,n/a,false,,",",",",",",",",enclitic indeclform (particle),masc/neut gen sg (epic),,,,,eu)=t',12,45273,εὖτε,conjunction,false,n/a,indeclform (conj),a)\n,13,6207,ἄν,particle,true,1.0,indeclform (particle),a)p',14,12243,ἀπό,preposition,false,n/a,indeclform (prep),poetic indeclform (prep),*)wkeanoi=o,15,116092,Ὠκεανός,proper,false,n/a,masc gen sg (epic),loessame/nh,16,63937,λούω,verb,false,n/a,aor part mid fem nom/voc sg (attic epic ionic),pres ind mp 2nd sg,pres ind act 3rd sg,xro/a,17,115067,χρώς,noun,1.0,true,masc acc sg (epic ionic),kalo/n,18,nlsj61372,καλός,noun,false,n/a,masc acc sg,neut nom/voc/acc sg,ei(/mata,19,31119,εἷμα,noun,false,n/a,neut nom/voc/acc pl,e(ssame/nh,20,35886,ἕννυμι,verb,0.5,true,aor part mid fem nom/voc sg (attic epic ionic),thlauge/a,21,103788,τηλαυγής,adverb,false,n/a,neut nom/voc/acc pl (epic ionic),masc/fem acc sg (epic ionic),di=a,22,27293,δῖος,adjective,false,n/a,fem nom/voc sg (epic),neut nom/voc/acc pl,neut nom/voc/acc pl,*selh/nh,23,nlsj9884,Σελήνη,proper,false,n/a,fem nom/voc sg (attic epic ionic),zeucame/nh,24,46176,ζεύγνυμι,verb,false,n/a,aor part mid fem nom/voc sg (attic epic ionic),pw/lous,25,91967,πῶλος,noun,false,n/a,masc/fem acc pl,e)riau/xenas,26,42397,ἐριαύχην,noun,false,n/a,masc/fem acc pl,ai)glh/entas,27,2182,αἰγλήεις,adjective,false,n/a,masc acc pl (epic),masc acc pl,e)ssume/nws,28,42966,ἐσσύμενος,adjective,1.0,true,adverbial,masc acc pl (doric),prote/rws',29,90507,προτέρωσε,adverb,false,n/a,indeclform (adverb),e)la/sh|,30,33457,ἐλαύνω,verb,1.0,true,aor subj mid 2nd sg,aor subj act 3rd sg,fut ind mid 2nd sg,kalli/trixas,31,nlsj62128,καλλίθριξ,adjective,false,n/a,masc/fem acc pl,i(/ppous,32,50824,ἵππος,noun,false,n/a,masc/fem acc pl,e(speri/h,33,nlsj38717,ἑσπέριος,adjective,false,n/a,fem nom/voc sg (epic ionic),dixo/mhnos,34,27681,διχόμηνος,adjective,false,n/a,masc/fem nom sg,",",",",",",",",:,,,,,,,,,,,,,,,
4,11,o(\,1,75512,ὅς,pronoun,true,1.0,neut nom/voc/acc sg,de\,2,23596,δέ,particle,false,n/a,indeclform (particle),plh/qei,3,83774,πλῆθος,noun,true,1.0,neut nom/voc/acc dual (attic epic),neut dat sg (epic ionic),me/gas,4,65552,μέγας,adverb,n/a,false,masc nom sg,o)/gmos,5,71992,ὄγμος,noun,false,n/a,masc nom sg,lampro/tatai/,6,61855,λαμπρός,adjective,false,n/a,,,t',7,102752,τε,particle,true,1.0,enclitic indeclform (particle),au)gai\,8,17325,αὐγή,noun,false,n/a,fem nom/voc pl,to/t',9,104429,τότε,adverb,false,n/a,indeclform (adverb),a)ecome/nhs,10,1703,ἀέξω,verb,false,n/a,pres part mp fem gen sg (attic epic ionic),tele/qousin,11,102923,τελέθω,verb,n/a,false,,,,,,,fem nom/voc superl pl,,,,,ou)rano/qen,12,nlsj80526,οὐρανόθεν,adverb,false,n/a,indeclform (adverb),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neut dat sg,pres part act masc/neut dat pl (attic epic doric ionic),pres ind act 3rd pl (attic epic doric ionic),:,,,,,,,,,,,
5,13,te/kmwr,1,102842,τέκμαρ,noun,false,n/a,neut nom/voc/acc sg (epic),de\,2,23596,δέ,particle,false,n/a,indeclform (particle),brotoi=s,3,21056,βροτός,noun,false,n/a,,,kai\,4,51951,καί,conjunction,n/a,false,indeclform (conj),sh=ma,5,93786,σῆμα,adjective,false,n/a,neut nom/voc/acc sg,te/tuktai,6,103681,τεύχω,verb,false,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,masc dat pl,perf ind mp 3rd sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,
6,14,th=|,1,71882,ὁ,article,true,1.0,fem dat sg (attic epic ionic),r(a/,2,14639,ἄρα,particle,false,n/a,epic (enclitic indeclform particle),pote,3,nlsj67563,ποτέ,particle,false,n/a,,,*kroni/dhs,4,60123,Κρονίδης,proper,n/a,false,masc nom sg,e)mi/gh,5,nlsj39496,μίγνυμι,verb,false,n/a,,filo/thti,6,111537,φιλότης,noun,false,n/a,,,kai\,7,51951,καί,conjunction,false,n/a,indeclform (conj),eu)nh=|,8,44534,εὐνή,noun,true,1.0,fem dat sg (attic epic ionic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,enclitic indeclform (particle),fem dat sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,aor ind pass 3rd sg,aor ind pass 3rd sg,,,,,,,,,
7,15,h(\,1,75512,ὅς,pronoun,true,1.0,fem nom sg (attic homeric ionic),d',2,23596,δέ,particle,false,n/a,indeclform (particle),u(pokusame/nh,3,nlsj111140,ὑποκύομαι,verb,false,n/a,,,*pandei/hn,4,unknown,,,n/a,false,,gei/nato,5,21730,γείνομαι,verb,false,n/a,aor ind mid 3rd sg (homeric ionic),kou/rhn,6,59098,κόρη,noun,false,n/a,,,e)kprepe\s,7,32745,ἐκπρεπής,adverb,false,n/a,,ei)=dos,8,30866,εἶδος,noun,false,n/a,neut nom/voc/acc sg,e)/xousan,9,45996,ἔχω,verb,false,n/a,pres part act fem acc sg (attic epic doric ionic),e)n,10,34700,ἐν,preposition,true,0.5,proclitic indeclform (prep),a)qana/toisi,11,1899,ἀθάνατος,adjective,n/a,false,,",",.,,,aor part mid fem nom/voc sg (attic epic ionic),fem acc sg (epic ionic),,,,,qeoi=si,12,48291,θεός,noun,true,1.0,masc dat pl (epic ionic aeolic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,masc/neut dat pl (epic ionic aeolic),masc/fem/neut dat pl (epic ionic aeolic),,,,masc/fem voc sg,neut nom/voc/acc sg,,,,,,,
8,17,xai=re,1,112934,χαίρω,verb,false,n/a,,a)/nassa,2,7501,ἄνασσα,adjective,true,1.0,fem nom/voc sg,qea\,3,47950,θεά,noun,false,n/a,fem nom/voc/acc dual,fem nom/voc sg (attic doric aeolic),leukw/lene,4,62774,λευκώλενος,adjective,n/a,false,masc/fem voc sg,di=a,5,27293,δῖος,adjective,false,n/a,,*selh/nh,6,nlsj9884,Σελήνη,proper,false,n/a,,,pro/fron,7,90708,πρόφρων,adverb,false,n/a,,e)uplo/kamos,8,nlsj53110,ἐυπλόκαμος,adjective,true,0.5,masc/fem nom sg,,,,,,,,,,,,,,,,,,,,,,,,,",",",",",",",",,fem nom/voc sg (attic epic ionic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pres imperat act 2nd sg,imperf ind act 3rd sg (homeric ionic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",:,,,,,,,,fem nom/voc sg (epic),neut nom/voc/acc pl,masc/fem voc sg,neut nom/voc/acc sg,neut nom/voc/acc pl,,,,,,
9,18,se/o,1,97456,σύ,pronoun,true,1.0,,d',2,23596,δέ,particle,false,n/a,indeclform (particle),a)rxo/menos,3,16051,ἄρχω,verb,false,n/a,,,kle/a,4,57798,κλέος,noun,n/a,false,neut nom/voc/acc pl (epic),fwtw=n,5,112862,φώς,adjective,false,n/a,masc gen pl,a(|somai,6,unknown,,,false,n/a,,,h(miqe/wn,7,47098,ἡμίθεος,noun,false,n/a,masc gen pl,w(=n,8,75512,ὅς,pronoun,false,n/a,,klei/ous',9,57835,κλέω,verb,true,0.33,,e)/rgmat',10,42198,ἔργμα,noun,false,n/a,,a)oidoi/,11,11106,ἀοιδός,noun,n/a,false,masc nom/voc pl,",",",",",",.,pres part mp masc nom sg,,fem gen pl,masc/neut gen pl,pres part act fem nom/voc sg (attic epic doric ionic),pres part act masc/neut dat pl (attic epic doric ionic),*mousa/wn,12,68876,Μοῦσα,proper,false,n/a,fem gen pl (epic aeolic),qera/pontes,13,48395,θεράπων,noun,false,n/a,masc nom/voc pl,a)po\,14,12243,ἀπό,preposition,false,n/a,,,stoma/twn,15,96981,στόμα,noun,false,n/a,neut gen pl,e)roe/ntwn,16,42647,ἐρόεις,adjective,false,n/a,masc/neut gen pl,gen 2nd sg (epic),gen 2nd sg (epic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pres ind act 3rd pl (attic epic doric ionic),pres part act fem nom/voc pl (attic epic doric ionic),neut nom/voc/acc pl,neut dat sg,neut nom/voc/acc dual,indeclform (prep)

